delta,frequency
0.00013433,5887059000
0.000337609,5892320000
0.000940888,5897581000
5.58323E-05,5902842000
0.001147447,5908103000
0.000350726,5913364000
0.000154006,5918625000
0.001157285,5923886000
0.000239436,5929147000
0.000963843,5934408000
0.000567123,5939669000
0.000170402,5944930000
0.000973681,5950191000
0.00017696,5955452000
0.00058024,5960713000
0.000783519,5965974000
0.000186798,5971235000
0.000590078,5976496000
0.000593357,5981757000
0.000196636,5987018000
0.000999915,5992279000
0.000203195,5997540000
0.000606474,6002801000
0.000409753,6008062000
0.000413033,6013323000
0.000616312,6018584000
0.000419591,6023845000
0.00062287,6029106000
0.00042615,6034367000
0.000629429,6039628000
0.000232708,6044889000
0.000635987,6050150000
0.000639267,6055411000
0.000442546,6060672000
0.000645825,6065933000
0.000449105,6071194000
0.000652384,6076455000
0.000455663,6081716000
0.000458942,6086977000
0.000662222,6092238000
0.000265501,6097499000
0.00086878,6102760000
0.000272059,6108021000
0.000675339,6113282000
0.000478618,6118543000
0.000281897,6123804000
0.000885177,6129065000
8.84558E-05,6134326000
0.000891735,6139587000
0.000295014,6144848000
0.000498294,6150109000
0.000501573,6155370000
0.000304852,6160631000
0.000708131,6165892000
0.000311411,6171153000
0.00071469,6176414000
0.000117969,6181675000
0.000721249,6186936000
0.000524528,6192197000
0.000327807,6197458000
0.000931086,6202719000
0.000134366,6207980000
0.000737645,6213241000
0.000740924,6218502000
0.000144203,6223763000
0.000747483,6229024000
0.000350762,6234285000
0.000354041,6239546000
0.000957321,6244807000
0.0001606,6250068000
0.000563879,6255329000
0.000767158,6260590000
2.95623E-05,6265851000
0.001173717,6271112000
0.000176996,6276373000
0.000580275,6281634000
0.000783555,6286895000
1.3166E-05,6292156000
0.000990113,6297417000
0.000193393,6302678000
0.000796672,6307939000
0.000399951,6313200000
0.00060323,6318461000
0.00060651,6323722000
0.000409789,6328983000
0.000613068,6334244000
0.000416348,6339505000
0.001019627,6344766000
2.29061E-05,6350027000
0.001026185,6355288000
0.000429465,6360549000
0.000432744,6365810000
0.001036023,6371071000
3.93024E-05,6376332000
0.001042582,6381593000
0.000445861,6386854000
0.00064914,6392115000
0.00065242,6397376000
0.000455699,6402637000
0.000858978,6407898000
0.000462257,6413159000
0.000865537,6418420000
0.000268816,6423681000
0.001072095,6428942000
0.000475374,6434203000
0.000678654,6439464000
0.001081933,6444725000
8.52123E-05,6449986000
0.001488492,6455247000
0.000291771,6460508000
0.00069505,6465769000
0.001098329,6471030000
0.000501609,6476291000
0.001304888,6481552000
0.000508167,6486813000
0.001111446,6492074000
0.000714726,6497335000
0.000918005,6502596000
0.001121284,6507857000
0.000724564,6513118000
0.001327843,6518379000
0.000531122,6523640000
0.001334401,6528901000
0.000737681,6534162000
0.00114096,6539423000
0.001144239,6544684000
0.000947518,6549945000
0.001150798,6555206000
0.000954077,6560467000
0.001357356,6565728000
0.000960636,6570989000
0.001563915,6576250000
0.001167194,6581511000
0.001370473,6586772000
0.001373753,6592033000
0.001377032,6597294000
0.001380311,6602555000
0.001583591,6607816000
0.00138687,6613077000
0.001390149,6618338000
0.001793428,6623599000
0.001196708,6628860000
0.002199987,6634121000
0.001603266,6639382000
0.001606545,6644643000
0.002409825,6649904000
0.001213104,6655165000
0.002416383,6660426000
0.002019663,6665687000
0.001622942,6670948000
0.002626221,6676209000
0.0016295,6681470000
0.00223278,6686731000
0.002236059,6691992000
0.002039338,6697253000
0.002442617,6702514000
0.002445897,6707775000
0.002449176,6713036000
0.002452455,6718297000
0.002655735,6723558000
0.002459014,6728819000
0.002662293,6734080000
0.003065572,6739341000
0.002068852,6744602000
0.003272131,6749863000
0.00247541,6755124000
0.002878689,6760385000
0.003481969,6765646000
0.002485248,6770907000
0.003488527,6776168000
0.003091807,6781429000
0.003095086,6786690000
0.003298365,6791951000
0.003301644,6797212000
0.003104924,6802473000
0.003708203,6807734000
0.003311482,6812995000
0.003514761,6818256000
0.003918041,6823517000
0.00332132,6828778000
0.004124599,6834039000
0.003527879,6839300000
0.003931158,6844561000
0.003934437,6849822000
0.003737716,6855083000
0.004140996,6860344000
0.004144275,6865605000
0.003947554,6870866000
0.004150834,6876127000
0.004354113,6881388000
0.003957392,6886649000
0.004760671,6891910000
0.003763951,6897171000
0.00476723,6902432000
0.004370509,6907693000
0.004173788,6912954000
0.004977068,6918215000
0.003980347,6923476000
0.004783626,6928737000
0.004586906,6933998000
0.004590185,6939259000
0.004793464,6944520000
0.004596743,6949781000
0.005000023,6955042000
0.004603302,6960303000
0.005006581,6965564000
0.00440986,6970825000
0.00501314,6976086000
0.004816419,6981347000
0.004619698,6986608000
0.005422978,6991869000
0.004226257,6997130000
0.005429536,7002391000
0.004432815,7007652000
0.005036095,7012913000
0.004839374,7018174000
0.004642653,7023435000
0.005245932,7028696000
0.004249212,7033957000
0.005452491,7039218000
0.00445577,7044479000
0.00485905,7049740000
